Specimen ID	Nominal Species ID
OG1	Lutjanus fulviflamma
OG2	Lutjanus carponotatus
OG3	Lutjanus vitta
OG4	Caesio cuning
OG5	Orectolobus wardi
OG6	Lutjanus russellii
OG7	Lethrinus punctulatus
OG8	Lethrinus laticaudis
OG9	Epinephelus multinotatus
OG10	Lutjanus quinquelineatus
OG11	Symphorus nematophorus
OG12	Lutjanus sebae
OG13	Lutjanus lemniscatus
OG14	Lethrinus nebulosus
OG15	Pristipomoides typus
OG16	Lutjanus erythropterus
OG17	Caretta caretta
OG18	Caretta caretta
OG19	Carcharhinus plumbeus
OG20	Galeocerdo cuvier
OG21	Negaprion acutidens
OG22	Mugil cephalus 
OG23	Plectropomus leopardus
OG24	Albula vulpes
OG25	Gerres sp.
OG26	Heterodontus portusjacksoni
OG27	Heterodontus portusjacksoni
OG28	Heterodontus portusjacksoni
OG29	Carcharhinus leucas
OG30	Carcharhinus leucas
OG31	Carcharhinus leucas
OG32	Carcharhinus leucas
OG33	Xiphias gladius
OG34	Xiphias gladius
OG35	Trachinops noarlungae
OG36	Pempheris klunzingeri
OG37	Pseudogoniistius nigripes
OG38	Ophthalmolepis lineolata
OG39	Meuschenia galii
OG40	Chelmonops curiosus
OG41	Tilodon sexfasciatus
OG42	Notolabrus parilus
OG43	Pictilabrus laticlavius (Senator)
OG44	Parma victoriae
OG45	Halichoeres brownfieldi
OG46	Neatypus obliquus
OG47	Heteroscarus acroptilus
OG48	Scorpis aequipinnis
OG49	Seriola lalandi
OG50	Seriola lalandi
OG51	Ophthalmolepis lineolata
OG52	Sphyraena novaehollandiae
OG53	Paraplesiops meleagris
OG54	Pseudolabrus biserialis 
OG55	Olisthops cyanomelas
OG56	Vincentia punctata
OG57	Siphonognathus radiatus
OG58	Siphonognathus radiatus
OG59	Notolabrus parilus
OG60	Austrolabrus maculatus
OG61	Sticharium dorsale
OG62	Heteroclinus roseus
OG63	Meuschenia scaber
OG64	Stigmatopora argus
OG65	Posidonichthys hutchinsi
OG66	Posidonichthys hutchinsi
